Country,Arable land,Crop production index,Exports of goods and services (% of GDP),External balance on goods and services (% of GDP),"Foreign direct investment, net inflows (% of GDP)",GDP per capita (constant 2015 US$),GDP per capita growth (annual %),"GNI per capita, PPP (current international $)",Gross domestic savings (% of GDP),Imports of goods and services (annual % growth),"Industry (including construction), value added (% of GDP)","International tourism, receipts (% of total exports)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",Net ODA received (% of GNI),"Population ages 15-64, total",Population growth (annual %),Rural population (% of total population),"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)"
Afghanistan,11.774476283928472,60.008333333333326,,,,,,,,,,,46.78233333333333,,8792589.166666666,3.910795989230044,78.14966666666668,
Africa Eastern and Southern,6.119844950568609,,25.794605828641078,-1.360997645713697,1.5769159521240061,1256.8871690064016,1.06445703795013,1941.4108832811044,13.502477250669214,9.305429888854194,26.879564855666132,10.825900260166954,71.61687785763971,3.200903336074692,195877090.33333334,2.5930807562402243,71.94378652678931,
Africa Western and Central,9.568818076863833,,,,0.9095689522889622,1181.8121096758246,0.5217670198335137,,,,32.819819613492534,4.423628923240919,65.4868254670526,,132147172.0,2.707932556773448,65.82282932450019,
Albania,21.070559610705597,50.55666666666667,13.813750796915414,-22.46153743130729,2.5006488215969904,1662.0456808002862,7.366357806589434,3196.6666666666665,-2.1433392298791287,18.81254872479788,17.35257535743204,42.328112589303906,61.815000000000005,9.2651301264654,1946905.1666666667,-0.6274481091351588,59.67833333333334,
Algeria,3.196962444823253,35.62333333333333,29.943286755619937,6.549578824010633,0.5807333440004604,2986.1329519300057,1.8614721028184273,7396.666666666667,32.548581414136734,1.5493993873709684,48.78500932774884,,44.46016666666667,0.5948053944280871,17603929.666666668,1.6123027818825202,42.05583333333334,
American Samoa,3.641666666666667,,,,,,,,,,,,,,31671.833333333332,1.7938964435248481,12.953499999999998,
Andorra,2.127659574468085,,,,,31127.013536022616,3.1807751880745676,,,,14.843755036780587,,,,47168.666666666664,1.3273853729960805,6.9576666666666656,
Angola,2.406352771316275,21.46666666666667,,,13.92798778434066,1863.9316755188192,4.145942527713278,2640.0,,,64.81020161192579,0.6570431511335101,77.362,6.878205801487039,7711914.666666667,3.284099862184064,52.87766666666667,
Antigua and Barbuda,9.090909090909092,97.21166666666666,,,4.497480965497377,14824.573064383758,1.8014166909830536,16436.666666666668,,,12.919487828530547,,,0.9741862770007642,46017.0,1.8742418142269497,66.95933333333333,
Arab World,4.192644731231174,,,,0.7313743781175005,4706.0865529407065,1.9379816342357568,9102.943399660724,24.445331356435545,,43.15670943360946,,47.586970359264704,0.900701706336359,153575700.5,2.358536551961523,47.544145575322055,
Argentina,10.001985366750832,55.49666666666667,10.316498137687027,-1.361885066814934,3.736691777125328,10733.35429168783,0.5277759300695782,10883.333333333334,17.8576923755714,5.2639341147630345,26.49492068943444,10.524995006763907,62.36266666666668,0.03686543291216812,22230257.666666668,1.2032879698047967,11.34216666666667,
Armenia,15.776841119306875,44.39000000000001,21.56064657578737,-33.30011076410945,5.054413223856726,1080.2567303001606,6.541218197677719,2211.6666666666665,-12.705026074509576,-2.9408933979626517,,9.062739194566428,62.835,12.288508551905172,2046424.3333333333,-1.0458061592447463,34.6365,
Aruba,11.111111111111112,,81.33692217195703,-2.0573877289157094,7.629725181071739,29710.384071718898,0.6109032348780398,28121.666666666668,27.60284528050423,,15.625471031842272,38.41539917233576,,1.0622120357418872,57338.666666666664,2.935943429510488,52.2585,
Australia,2.70645943706095,77.055,18.855138797251698,-1.2689956891360126,2.107460110462455,42428.55620368758,3.064560476049136,23015.0,24.344145467000846,9.72177012930625,25.344635923600023,14.419755403138835,63.18,,12354556.833333334,1.1074687493150548,15.431833333333335,14.399000000000001
Austria,17.036274034577477,100.68333333333334,37.6441387025233,-0.33768056036318156,1.9344128966929084,36083.205722526865,2.775105797878209,26046.666666666668,25.9359788029609,6.225615709155974,28.58399697269816,,58.85333333333333,,5362028.0,0.15770014609783284,39.094500000000004,6.6795
Azerbaijan,21.630286320664467,50.17166666666666,29.548395131778832,-19.974003022336472,16.357830871005344,1242.253884422537,2.977427818310519,2736.6666666666665,8.328269203697879,16.568569903044814,36.622576735086255,9.70167679366717,78.33183333333334,3.6084907012951306,4881866.666666667,0.9633994400633492,48.41016666666667,20.240000000000002
"Bahamas, The",0.6160506160506161,56.663333333333334,40.604806770991054,-5.978873758841288,2.6763271987535546,30011.130636372112,2.588085435874395,23356.666666666668,26.816578944131866,11.845587046987353,12.824101915550417,74.11497946425347,74.68183333333333,0.11308141763108333,201596.5,1.671644918667387,18.5035,19.694000000000003
Bahrain,2.81924882629108,97.94,78.60540644188545,11.995521473658359,9.979989728497733,20895.28586282846,1.145447649044397,35463.333333333336,27.39073951626727,,39.94764208182423,12.904039738210194,65.33066666666666,1.8892029344352441,442115.6666666667,3.02785430790157,11.619666666666662,
Bangladesh,64.51947453330261,52.873333333333335,11.158614543863143,-5.382906830897873,0.26315540800614273,600.8238364741306,2.9557817282882533,1440.0,17.34490213262528,13.75960750809553,22.407233618053038,,58.367333333333335,1.9978200749201669,71098934.5,1.8507529764434851,77.36583333333334,8.875
Barbados,36.434108527131784,235.71,44.77771421666273,-1.7600367468887637,1.621878694383972,15512.384801741178,3.014744904091387,11310.0,12.462519755418,,15.352929484496556,57.39587546223168,67.87766666666666,0.19634062318615797,175207.83333333334,0.186499757772836,65.31433333333334,28.506
Belarus,30.514608670322886,80.545,57.223356856093,-4.12182882710401,1.5378578071451254,2243.001335082634,3.9928608319688337,4778.333333333333,21.6960863929813,2.8666676270471405,34.385987031050455,1.1363968931311617,58.733000000000004,,6716407.333333333,-0.4080478382228285,31.093333333333334,
Belgium,28.46763540290621,96.95,64.56302390732525,3.5611258364520157,17.68277757674308,33224.57691964576,2.5587485561490553,25003.333333333332,25.984874609402215,6.642509051768012,25.53448806065211,,51.085,,6706582.166666667,0.22200943486059985,3.0429999999999993,20.240666666666666
Belize,2.783866725120561,87.27500000000002,42.75979098198416,-0.9721286410172604,2.716873808750176,5089.899608007637,1.9505015682848874,6273.333333333333,25.60252772684163,11.259256189429815,21.123327060395138,30.31251698676499,58.41683333333333,2.437659756842015,121422.5,3.19938873319737,54.0975,
Benin,18.874896535414447,51.303333333333335,25.29194359108916,-6.143300654626954,-0.015111315627930657,843.9014998979154,2.328988349402671,1561.6666666666667,12.174441789594438,3.7309290291589554,14.92474724418876,12.902622657502343,71.9345,9.452043694396346,3330024.5,2.7786347527759467,62.456500000000005,
Bermuda,7.407407407407406,,,,2.051419256916531,97186.62636060662,3.9765180873767676,,,,8.534602370069562,,,,42912.166666666664,0.6915114209923137,0.0,10.73
Bhutan,3.8107202680067,67.49833333333333,35.182153569482075,-13.890131783013805,0.1357309675804408,1035.9244056217917,3.800660433934219,2290.0,19.962134344265557,19.26752992351978,34.5616815641337,,69.94949999999999,19.23656225461606,315128.0,1.9854740104818582,77.07133333333333,
Bolivia,2.669312901935444,52.603333333333325,20.183037385208983,-8.319114520093672,8.935319054025735,1967.008566027361,1.7677409850605699,3065.0,10.286724795427794,6.706472167486576,26.758177668321675,8.439739664878228,70.72383333333335,7.8938204511021475,4607107.0,1.8417202219787032,39.52766666666667,6.6875
Bosnia and Herzegovina,18.06640625,75.18166666666667,24.78234048689252,-55.91123814409332,2.6723326825215072,1831.211502257326,27.773196484293482,3030.0,-25.47002491733626,,24.990340015685884,19.450613988094112,42.82433333333333,28.68951379917587,2729461.8333333335,1.7519547620433107,58.400499999999994,
Botswana,0.5322934495556378,69.78666666666666,53.643988555896875,9.47964173109961,1.4328507125150047,4629.170976372039,3.136350096325726,7815.0,36.66651588541279,8.752861592704157,44.94359787793681,6.604617077831345,57.96733333333333,1.6531882161179252,917190.0,2.3092020913072218,48.89933333333334,37.935
Brazil,5.264987186144286,49.964999999999996,8.004363483497245,-2.200735283441649,2.8944299360492844,6615.356385531526,1.0029262710530513,8285.0,15.596049595560322,7.753674852346836,22.53130713750939,2.311070450926971,63.53900000000001,0.031307113182245744,107818167.83333333,1.4747195301549902,20.595166666666668,16.906200000000002
British Virgin Islands,11.111111111111112,,,,,,,,,,,,,,12988.333333333334,2.54694739485541,58.90766666666667,
Brunei Darussalam,0.7590132827324477,70.59333333333332,58.4130627861374,5.648642327539286,13.025814050472135,34459.1859101269,-0.38534204767084884,64341.666666666664,37.395108027737194,-0.48749208347053735,56.168115761404515,,67.14283333333333,0.0906190565712584,197608.0,2.2398039465705266,30.088166666666666,
Bulgaria,34.85944138118051,79.34666666666666,41.88712780283952,5.038733643107055,3.827897548596417,3844.4298824722496,-0.4687263848123256,6305.0,19.407387513261643,5.768007939605245,20.36377947885236,14.714892011371097,52.376000000000005,,5558135.333333333,-0.5486288461876698,31.65833333333333,33.33
Burkina Faso,13.783503898635479,32.693333333333335,10.920586459505694,-16.10244863016374,0.4347063811368111,403.6082674902914,3.744733204048167,811.6666666666666,5.9481494159173645,5.528255291312074,20.05187030707229,,79.56983333333334,14.00862696497174,5534712.666666667,2.7238345955455565,83.67783333333334,
Burundi,36.99376947040499,78.00333333333333,8.412769124391339,-9.772333029584589,0.24690903099843742,326.73153838853415,-4.352595021577055,533.3333333333334,-3.7543696557854602,14.15091363019899,14.804026983931047,2.3650721908147427,84.85433333333334,12.595964659543824,2928800.3333333335,2.023801745050735,92.2745,
Cabo Verde,10.75268817204301,62.50833333333335,22.592858932618924,-36.373600046303494,5.027629141711559,1601.9387520030377,10.007237321361698,2338.3333333333335,,,25.82240442625137,39.8001629964092,60.229166666666664,22.784536395839933,223280.66666666666,2.197059295678703,48.8965,
Cambodia,20.960797643326533,32.79,35.29894850773762,-13.94690872988513,4.7546476483578894,419.68183968196473,5.546312782599062,871.6666666666666,1.7593765763175544,16.815292221699043,17.040318378503358,13.633341518569503,79.28966666666668,10.485479370755003,6218516.5,2.174728116783623,81.9225,2.5669999999999997
Cameroon,12.608152990205411,40.07833333333333,23.132705595520793,3.310661530525847,0.7949911504073843,1094.2940876644375,1.3631826125557087,1833.3333333333333,20.961532491068965,12.812341392819754,28.434337058115105,4.7312285125956395,82.18150000000001,4.234406461964565,7193823.166666667,2.6813775493700014,55.94566666666666,
Canada,4.576478885754684,66.75,39.57150999712729,3.373019303628233,3.8546984743555583,34746.027657116705,2.8333090844282176,25221.666666666668,23.745126310186915,7.890818275504135,27.980521170636276,4.213570024449132,65.13,,20390572.666666668,0.9413172314906961,21.454833333333337,14.729833333333332
Caribbean small states,1.8592688650117326,,,,4.744541465874226,7551.864801447476,2.518832296268395,8196.054889517423,,,24.106092430799674,38.80432483658128,63.65684657440963,1.325470995574335,3963794.1666666665,0.8351812192139695,49.96705176602084,29.231029736236454
Cayman Islands,0.8333333333333334,,,,,,,,,,,,,,26977.166666666668,3.8818619349810906,0.0,
Central African Republic,3.0017014992455615,86.37166666666667,22.138060322788515,-4.607289733798232,0.5415667115834326,461.07235353919117,-0.3908944412604261,636.6666666666666,6.479609145649015,,,,70.35216666666668,12.582562462701263,1821142.5,2.747556035386674,62.565333333333335,
Central Europe and the Baltics,38.7529971894155,,34.894624349107886,-3.7085462938744946,4.057185080319294,6848.037222283362,3.7687205555719197,8811.466978407265,21.37446084903175,10.83019510323258,30.31123411136404,14.339095024570684,58.23982215390526,0.029952484564249992,73826190.66666667,-0.23972965693107065,38.45417806765996,22.250117962213437
Chad,2.8086615840745446,48.89833333333333,18.619367690416837,-13.054216882472389,3.1190908603899103,396.461193310432,-1.355471092117649,770.0,4.558761295415961,2.586418061805103,12.576035916354266,,70.24866666666667,13.598108921218225,3693194.8333333335,3.7551987646094918,78.44516666666668,
Channel Islands,18.68686868686869,,,,,,,,,,,,58.79183333333333,,98422.5,0.3289748141600695,69.55266666666667,
Chile,2.603788404534035,66.92166666666667,27.338525494208735,-0.36143447669979273,6.623487698069422,8036.292855562664,3.98499048069309,8256.666666666666,26.303356213553943,9.579060634404216,30.178377993878073,6.095858041844237,56.43083333333334,0.15685834721460842,9630479.833333334,1.2873215582086583,14.682333333333332,20.971
China,12.694574295422434,55.92499999999999,18.794542805168977,2.9250500888153286,4.319600870967489,1850.49265070826,7.974005029227946,2335.0,39.10807116606028,,46.274572398700656,9.366766985972339,77.42183333333334,0.2699720817951242,833737188.0,0.961909846909267,66.60516666666666,
Colombia,2.294727354664263,71.47166666666668,15.640636272776872,-4.029343026075264,2.7540627338029124,4125.079343925757,-0.10698352279976102,6560.0,15.366869139340087,-1.1497115746951085,27.540907961841256,8.843159575512596,67.93566666666668,0.2258643832977432,23280647.166666668,1.7551399519446518,27.1255,18.7
Comoros,34.92745835572273,80.995,8.836283387904347,-18.084763761381762,0.09313912969211142,1127.1740118653117,1.2634663871647476,1636.6666666666667,-0.042318340212893955,3.4006115529038254,12.206350090948119,48.00848762188017,42.089666666666666,8.472694577633042,255791.16666666666,2.0906982022039,71.8095,
"Congo, Dem. Rep.",2.9553825455989062,49.935,23.68507031124743,1.1791141138975216,0.17034009799548042,409.94473529554585,-5.646960356087135,461.6666666666667,11.06706036241996,24.628776133541077,22.00562841179745,,72.44133333333335,2.691174626759068,23548460.166666668,2.632950576246732,66.02516666666666,
"Congo, Rep.",1.4241093216203025,59.751666666666665,72.93737850413974,13.094076295898049,-1.4958460240827858,2079.0316008085506,0.008340491192579217,2490.0,43.32192344890072,0.7687397312770159,55.50920612317899,0.7399905674616312,68.15833333333333,11.747936216195058,1562469.6666666667,2.675557023640103,42.46066666666667,
Costa Rica,4.178091134612874,65.70833333333333,41.53355080490032,-3.190614258622185,3.9110039520510114,7198.828257000598,2.1092159946361995,6885.0,17.105219989263528,5.137639231835254,25.960179517899203,20.88009331620427,58.39666666666667,0.14270506986013384,2342228.5,2.1903384695109165,43.18866666666667,
Cote d'Ivoire,9.119496855345913,63.36666666666667,30.2813455940628,2.6419717249087222,2.0423045502880712,1825.1387068099336,1.5540461216432437,2045.0,18.63155657401842,4.604044504395873,15.465234758944009,,65.17633333333333,6.70514833382152,8175230.166666667,3.2754180865441698,57.833499999999994,
Croatia,18.131842103112287,85.59166666666665,30.507657167524727,-7.425679687042469,3.261311619963307,8254.700122521555,4.012087556542156,9411.666666666666,12.739687132348505,6.460224800703747,25.293931019850742,34.83311220564332,53.57916666666667,0.26915054834652075,3067032.3333333335,-0.6715653838015131,47.1465,
Cuba,33.34109248913718,97.71,14.426493930575289,-2.836596019050575,,3720.986193918394,3.8789880943157633,,9.833059634139994,6.251293453647662,24.845479511994487,,51.839,0.23178096918411006,7580126.333333333,0.33130422941882287,25.235333333333333,
Curacao,,,,,,21523.645846077965,,,,,14.789921930652802,,,,92284.16666666667,-1.2897379902190704,10.732500000000002,
Cyprus,10.746753246753245,189.6816666666667,68.62389051717379,0.8117053712997051,5.0304066122691635,20457.3818359375,3.4584803306386553,17806.666666666668,23.234888994225837,6.436277124274625,19.210985781217776,41.912699670182135,59.99000000000001,0.2321067317100407,604159.3333333334,1.932100806465903,31.656333333333336,9.6715
Czechia,42.206979854190934,93.50333333333333,41.916042419409344,-2.4488930727043243,5.293023196740227,11724.068633351832,2.6767742992211985,14768.333333333334,30.212341896197614,11.042013732360326,34.88033321162199,,60.78,,7101756.5,-0.12713215087738156,25.68383333333333,11.641666666666667
Denmark,58.11250000000001,92.11666666666667,38.80407741258816,5.085721673700049,6.572429027791631,46078.58774407763,2.5834268473933855,24980.0,26.536812138984857,7.169582374238118,22.57508744670588,5.197960334818584,65.295,,3546942.0,0.4217893134935533,14.956000000000001,8.7415
Djibouti,0.04314063848144953,69.01833333333333,,,0.6227678099524498,,,,,,,3.3005102395923522,36.04083333333333,16.341222306171574,381898.5,2.9013640110790058,23.584000000000003,
Dominica,4.666666666666667,110.49666666666667,,,7.578583502084232,5889.526403546251,2.6759318715489613,5575.0,,,14.863448935339045,34.48904183849189,,7.527900773012895,40936.666666666664,-0.20648202210044442,34.95166666666666,37.375
Dominican Republic,18.433036638377146,50.19,35.02075507003854,-5.339845945014299,3.086184040251396,3763.2772429715587,4.544198491007023,5561.666666666667,18.873490963170955,8.520025278275616,32.59636617135114,45.512014014981595,58.02583333333333,0.5240174417040032,4890814.5,1.6754967787956547,40.315333333333335,12.541
Early-demographic dividend,12.60687443429138,,22.617397275341848,-0.40201105965805856,1.6394885232279315,2101.8992197955436,1.6713286937388265,3826.2611811078964,22.033719850958864,7.078222645817874,32.152616108220535,7.6811705313856455,57.82901589774959,0.6423260212172511,1400558024.6666667,1.9705365426535077,62.51851160987507,11.344150537953926
East Asia & Pacific,8.753629661763396,,21.594027719350137,1.5922864414541003,1.4724070330917172,4693.369307060151,3.0173741191205963,5109.549204334796,32.06713647653594,,34.599625000414086,4.951518596929764,73.45971864257831,0.11248813838152504,1325077765.3333333,1.1042026747065823,60.5157969035734,
East Asia & Pacific (excluding high income),11.642810330188775,,29.949859711261983,2.545645055539278,3.673871579524348,1858.424098506083,5.959360676495962,2806.589389936846,36.00322038881393,,43.638248755751675,8.655002457632786,75.07685788820191,0.5568663089022546,1167047184.8333333,1.1710138343021252,65.64084788228722,
East Asia & Pacific (IDA & IBRD countries),11.58495597249763,,29.947468214659057,2.5617769688031817,3.673871579524348,1880.4461883627007,5.956062968679409,2839.8317041396585,36.00291550126698,,43.63124940206264,8.655002457632788,75.08101642729501,0.5369865319957374,1151438528.8333333,1.174179263117639,65.96676676980537,
Ecuador,6.12365603646246,77.16833333333334,23.58202367715532,-0.7034889421046526,2.114192129924244,4374.400146553854,-0.46618837493049153,5530.0,19.8922387700617,1.150682624356186,28.00288244482471,6.461016833856913,64.3355,0.7972470413361824,7144714.666666667,1.7797914015793637,40.964333333333336,18.05575
"Egypt, Arab Rep.",2.8287039362432402,65.455,18.267989965459645,-6.837183122379884,1.1249410606379193,2302.8610535197618,3.287747404396908,4936.666666666667,12.916067806139688,4.383526670177993,29.42687880103224,25.933086731927617,46.93000000000001,2.4280359872527137,38782636.833333336,2.1387737494237715,57.266,21.744999999999997
El Salvador,28.717020592020592,105.67833333333333,24.054597210158864,-13.352901095620888,2.8940382520864154,2866.6464916419086,1.6616228587663642,4035.0,4.147763937524299,8.28977338420966,26.008871926156345,13.721491705381855,61.306000000000004,2.3184802680202226,3354705.6666666665,0.7595287639850755,43.18966666666666,
Equatorial Guinea,0.6892453951277481,73.03166666666668,,,62.85322801075049,2396.1087826606004,44.47299297793191,3658.3333333333335,,,,1.6412259167501517,57.24533333333334,10.93036035323806,334039.0,3.9638489403736124,55.228,
Eritrea,4.544554455445544,94.04833333333333,19.212687372095463,-60.97847348001934,5.452384217856855,809.3325926521226,0.4129387018251241,1433.3333333333333,-30.81827590389007,0.6480276155870044,19.047668579675726,37.994914152471075,80.06833333333334,22.604043714166874,1210870.5,2.6387185609487447,75.48,
Estonia,20.582684595423448,63.79999999999999,67.11513515117609,-7.530823098470267,6.141928360611018,8606.67221869716,7.00709772217134,9070.0,21.73727552270738,7.417974293364708,25.668965654197294,20.281977754784204,60.44666666666666,,931238.5,-0.7640088300775317,30.170333333333332,17.874666666666666
Eswatini,10.348837209302324,78.62166666666666,64.02734210331143,-16.257302551759484,4.126430529646012,2345.0205573755024,1.8631777361113275,4523.333333333333,2.6402758260845434,5.096037963368467,37.59236631457436,3.722512791985809,53.255,1.89108078440338,516241.0,1.290126110210515,77.24316666666665,43.58
Ethiopia,9.901833333333332,34.596666666666664,,,1.61269676730317,254.13626665146725,1.6962106169776519,445.0,,,11.074617392773751,19.303640442557917,79.29200000000002,8.880963329165688,31089417.166666668,3.110358179733085,85.71983333333333,5.417
Euro area,25.9425161003337,,30.609491011929894,1.54126241588163,3.2636490201705315,28907.24795184983,2.5147772295236783,22595.551698857318,24.055021529523913,8.733367453306371,25.750395371252594,8.07027850936618,54.608903041490116,0.001339942579734798,215178083.83333334,0.25909528556774103,27.505378229420483,23.227448399597748
Europe & Central Asia,13.200810048860994,,30.63217376737117,1.4426102640543281,3.7066749381180437,17083.57380853082,2.6535593821977983,14116.945579540346,23.35786459532933,8.33164998851498,26.05610526019247,7.942690681961879,57.593133195202704,0.03443740539274287,569565738.5,0.15330745699869652,31.570778938143388,20.714953294289646
Europe & Central Asia (excluding high income),10.820625148419113,,29.240559116723855,1.5590842828024616,1.174006113094224,3762.8398201809673,1.5803822183505905,5570.479160455837,22.283552199191046,5.256972073640893,31.774165848284337,,58.92470240034692,0.5126658782329442,240998817.66666666,0.10346314350388515,35.69825915263234,
Europe & Central Asia (IDA & IBRD countries),11.60774006669218,,28.20101749535982,0.03781674080658822,1.7560395415555046,4091.4278377864157,2.0953116432386736,5924.407420371625,21.236064232636267,7.057441998534482,31.59045849623025,,59.067470465322394,0.3591786477064272,285262617.0,0.05893485949854712,36.62497246808829,20.826428326466807
European Union,27.7629901227333,,31.16341354038916,1.5460295373357689,3.5650237843424164,24374.942743098898,2.6852615944993325,19612.01460165568,24.090641917707615,8.900349185666498,25.91970850524763,8.13538440036169,55.6318349126725,0.002000035461657041,288277942.6666667,0.15360130356799573,29.529332529533164,22.692995355531437
Faroe Islands,0.04584527220630374,97.00999999999999,47.67785965316428,-0.4351582733150166,,,,,22.48172359881018,,17.74452830520133,,,,27972.333333333332,0.567669295919302,64.65033333333334,
Fiji,7.058930852034301,156.68666666666667,61.139714872463294,0.0069521442229909525,-2.2920667336005764,3915.9255667244456,1.3800595118181178,5246.666666666667,21.12082518274122,,20.418851297889788,32.12898950480195,59.20783333333333,2.086329417822647,493364.1666666667,0.8565857948500025,53.157333333333334,13.12
Finland,7.072293903279818,96.35166666666667,37.82267351251165,7.9588652681879735,4.900094623605557,33638.32737550722,4.672460409655791,22396.666666666668,29.28835616240563,9.154741018011356,29.98558082070663,4.773778688044026,60.17283333333333,,3435725.5,0.28537771741328255,18.41866666666667,35.467
Fragile and conflict affected situations,8.812951852645034,,,,1.4006342653249817,1352.5142422287827,1.525043654658487,,,,,3.4803822492974748,64.17800427832825,,314952220.5,2.3026976162002293,63.26152019364537,
France,33.3821756890444,100.26333333333334,25.333294636220273,2.1436095424098576,2.0851043414967876,31371.064565110366,2.344363595315746,23308.333333333332,22.830268643876163,8.691441398258599,21.575463210516833,9.594658288755486,55.595,,39259414.166666664,0.44183118633122137,24.64233333333333,26.11583333333333
French Polynesia,0.8271108151380763,87.32,4.07089425811463,-20.56140469539891,0.19654103070659745,21459.595327442043,-0.6742766447213384,,,,,,59.282999999999994,7.85617963748375,151270.66666666666,1.620202360260775,43.71783333333334,
